dia,periodo,Praça,Copa,Caixa,Escritório,Entrega
Sábado,Manhã,7,4,2,0,4
Sábado,Tarde,2,2,1,2,1
Sábado,Noite,10,6,1,0,4
Domingo,Manhã,0,0,0,0,0
Domingo,Tarde,2,1,1,2,1
Domingo,Noite,7,4,1,0,3
Segunda,Manhã,2,1,1,2,2
Segunda,Tarde,2,1,1,2,1
Segunda,Noite,5,3,1,0,1
Terça,Manhã,2,1,1,2,2
Terça,Tarde,2,1,1,2,1
Terça,Noite,5,3,1,0,1
Quarta,Manhã,2,1,1,2,2
Quarta,Tarde,3,1,1,2,1
Quarta,Noite,5,3,1,0,1
Quinta,Manhã,3,1,1,2,2
Quinta,Tarde,3,1,1,2,1
Quinta,Noite,5,3,1,0,1
Sexta,Manhã,4,2,1,1,2
Sexta,Tarde,3,2,1,2,1
Sexta,Noite,7,4,1,0,3
